label,text,cleaned_text
0.0,"Tichy:„Klimadiktatur“ aus Umweltbundesamt: Journalismus für die große Transformation Teil II : Im ersten Teil zu diesem Artikel hatte TE Vorgänge im Umweltbundesamt recherchiert, die Anlass zur großer Besorgnis geben. In Teil I aufgezeigt werden konnte,… https://t.co/hpjfD1u97I","Tichy:„Klimadiktatur“ aus Umweltbundesamt: Journalismus für die große Transformation Teil II : Im ersten Teil zu diesem Artikel hatte TE Vorgänge im Umweltbundesamt recherchiert, die Anlass zur großer Besorgnis geben. In Teil I aufgezeigt werden konnte,… URL"
0.0,"Schon geil, für die Linken in Deutschland ist #TagX der Blick in ihre eigene Zukunft. :D :D :D","Schon geil, für die Linken in Deutschland ist #TagX der Blick in ihre eigene Zukunft. :D :D :D"
0.0,"Das muss man nicht verstehen, dass der Täter wieder auf freien Fuss gesetzt wurde! Irgendwie verstehe ich unser ganzes Rechtssystem nicht mehr! POL-HB: Nr.:0685 --Tötungsdelikt Vor dem Steintor -  Tatverdächtiger stellt sich http:// via @name","Das muss man nicht verstehen, dass der Täter wieder auf freien Fuss gesetzt wurde! Irgendwie verstehe ich unser ganzes Rechtssystem nicht mehr! POL-HB: Nr.:0685 --Tötungsdelikt Vor dem Steintor - Tatverdächtiger stellt sich URL via @USER"
0.0,"RT @name: http://
#Neger prügelt in #Nürnberg grundlos auf deutsche #Rentnerin ein.
#Widerstand #DieRechte",RT @USER: URL #Neger prügelt in #Nürnberg grundlos auf deutsche #Rentnerin ein. #Widerstand #DieRechte
0.0,"""Jetzt muss ich mich aber dann doch mal beschweren, ne. Ich stehe jetzt schon seit 19 Stunden auf Hatr.org und habe noch nicht eine """"Facepalm""""? Wat soll det? Nee, im Ernst - ich finde Hatr.org gut. Ganz ehrlich. Teilweise sind die Kommentare tatsächlich unter der Gürtelinie aber zum grössten Teil finden sich dort intelligente, kritische Kommentare, ein wohltuender Unterschied zu den selbstbeweihräuchernden und anbiederischem Gesülz welches ihr freischaltet auf euren Blogs. Und das ihr diese Kommentare mit Labels wie """"Hass"""" und was weiss ich verseht zeigt auf wundervolle Weise eure komplette Unfähigkeit zur Kritik. Weiter so!""","""Jetzt muss ich mich aber dann doch mal beschweren, ne. Ich stehe jetzt schon seit 19 Stunden auf Hatr.org und habe noch nicht eine """"Facepalm""""? Wat soll det? Nee, im Ernst - ich finde Hatr.org gut. Ganz ehrlich. Teilweise sind die Kommentare tatsächlich unter der Gürtelinie aber zum grössten Teil finden sich dort intelligente, kritische Kommentare, ein wohltuender Unterschied zu den selbstbeweihräuchernden und anbiederischem Gesülz welches ihr freischaltet auf euren Blogs. Und das ihr diese Kommentare mit Labels wie """"Hass"""" und was weiss ich verseht zeigt auf wundervolle Weise eure komplette Unfähigkeit zur Kritik. Weiter so!"""
0.0,RT @name: Mainstream VERSCHWEIGT: Amtsenthebungsverfahren gegen US-Präsident Donald Trump KRACHEND GESCHEITERT! http:// via @name,RT @USER: Mainstream VERSCHWEIGT: Amtsenthebungsverfahren gegen US-Präsident Donald Trump KRACHEND GESCHEITERT! URL via @USER
0.0,"RT @name: Merkels Gäste führen Krieg gegen uns. Es wird Zeit, das klar auszusprechen.
http://","RT @USER: Merkels Gäste führen Krieg gegen uns. Es wird Zeit, das klar auszusprechen. URL"
0.0,"RT @name: @name @name @name Herr Bundeskanzler, viele Grüße aus Deutschland, auch hier verbinder sehr viele große Hoffnungen mit ihrer Politik. Viel Kraft, Standhaftigkeit und Erfolg!!","RT @USER: @USER @USER @USER Herr Bundeskanzler, viele Grüße aus Deutschland, auch hier verbinder sehr viele große Hoffnungen mit ihrer Politik. Viel Kraft, Standhaftigkeit und Erfolg!!"
0.0,@Hartes_Geld @hamaro777 Aus Gründen des Protests werde ich die nächsten 40 Tage nur Dosenfleisch essen!    Habe schon zwei Dosen vorgelagert!    #Protest  #Ferkeldiskriminierung  #Regierung   #Ferkel ähh #Merkel,@USER @USER Aus Gründen des Protests werde ich die nächsten 40 Tage nur Dosenfleisch essen! Habe schon zwei Dosen vorgelagert! #Protest #Ferkeldiskriminierung #Regierung #Ferkel ähh #Merkel
0.0,@polizei @name #bunt Bitte vermeiden Sie islamophobe Formulierungen (Messer etc.)  Das gabs schon immer. Da wird sonst ein Islamist im Kabinettsrang aggressiv.,@USER @USER #bunt Bitte vermeiden Sie islamophobe Formulierungen (Messer etc.) Das gabs schon immer. Da wird sonst ein Islamist im Kabinettsrang aggressiv.
0.0,"RT @name: Wer richtig wählt, der wird belohnt! Österreichs Regierungsprogramm:
Die Abgabenquote soll in Richtung 40 % gesenkt werden
Nach 40 Jahren im Beruf soll für Niedrigverdiener eine Mindestrente von 1.200 € gelten
Asylbewerber müssen Geld und Handys abgeben.
http://","RT @USER: Wer richtig wählt, der wird belohnt! Österreichs Regierungsprogramm: Die Abgabenquote soll in Richtung 40 % gesenkt werden Nach 40 Jahren im Beruf soll für Niedrigverdiener eine Mindestrente von 1.200 € gelten Asylbewerber müssen Geld und Handys abgeben. URL"
1.0,"http:// Die Frau hat Glück. Bei ihr wird es dem grünfaschistoiden Mob schwerfallen, sie als islamophobe Nazischlampe zu diskreditiren, um die Gottkanzlerin zu schützen.","URL Die Frau hat Glück. Bei ihr wird es dem grünfaschistoiden Mob schwerfallen, sie als islamophobe Nazischlampe zu diskreditiren, um die Gottkanzlerin zu schützen."
0.0,"Wir sind auf der Kirmes. Erkläre den Kindern die Regeln:    1. Wir kaufen keine Heliumballons  2. Niemand läuft weg  3. Geht doch jemand verloren, treffen wir uns bei Popcorn Paule  4. Wir kaufen keine Heliumballons","Wir sind auf der Kirmes. Erkläre den Kindern die Regeln: 1. Wir kaufen keine Heliumballons 2. Niemand läuft weg 3. Geht doch jemand verloren, treffen wir uns bei Popcorn Paule 4. Wir kaufen keine Heliumballons"
0.0,RT @name: Österreichs neue Flüchtlingspolitik: Anreize abschaffen – kein Bargeld mehr http:// via @name,RT @USER: Österreichs neue Flüchtlingspolitik: Anreize abschaffen – kein Bargeld mehr URL via @USER
0.0,"Zwei Menschen bei Messerattacken verletzt http://

#Neukölln #CSUPT17",Zwei Menschen bei Messerattacken verletzt URL #Neukölln #CSUPT17
